,Application Name,Category,Sub-category,Description,URL,Download
0,Ace Studio,🎵 Audio Processing,Voice Synthesis,Advanced voice synthesis with timbre transfer for creating unique voices.,https://www.acestudio.ai/?cl=a02,https://web.tdacestudio.com/download
59,Chameleon 2,🎵 Audio Processing,Music Production,DAW plugin for audio processing and sound modeling.,https://www.accentize.com/chameleon/,
61,Coqui🐸 XTTS,🎵 Audio Processing,Voice Synthesis,Voice synthesis and timbre transfer for research and non-commercial applications.,https://huggingface.co/spaces/coqui/xtts,
62,Cyanite,🎵 Audio Processing,Audio Analysis and Metadata,Audio analysis and metadata tool for cataloging and organizing music libraries.,https://cyanite.ai/,
64,Databass.ai,🎵 Audio Processing,Audio Analysis and Metadata,"Versatile platform for music composition, audio synthesis, and text-to-audio conversion.",https://databass.ai/,
72,Endel,🗂️ Other,Autres,Description non disponible,https://endel.io/,
73,Essentia,🗂️ Other,Autres,Description non disponible,https://essentia.upf.edu/,
76,FL Studio,🗂️ Other,Autres,Description non disponible,https://forum.image-line.com/viewtopic.php?t=313325,
88,LALAL.AI,🎵 Audio Processing,Source Separation,Description non disponible,https://www.lalal.ai,https://www.lalal.ai/download/
103,MicroMusic,🗂️ Other,Autres,Description non disponible,https://micromusic.tech/,
108,RipX,🎵 Audio Processing,Source Separation,"Logiciel de séparation de pistes audio pour éditer, remixer et extraire des éléments musicaux.",https://hitnmix.com/,https://hitnmix.com/download-ripx/
112,Serato Sample,🎵 Audio Processing,Source Separation,Plugin DAW pour le sampling et la séparation de sources audio avec précision.,https://serato.com/sample,https://serato.com/sample/downloads
125,Spotify Voice Translation,🎵 Audio Processing,Voice Synthesis,Description non disponible,https://newsroom.spotify.com/2023-09-25/ai-voice-translation-pilot-lex-fridman-dax-shepard-steven-bartlett/,
128,Stemroller,🎵 Audio Processing,Source Separation,"Outil open-source pour séparer les stems (voix, instruments, etc.) des pistes complètes.",https://www.stemroller.com/,https://github.com/stemrollerapp/stemroller/releases
129,Stemz,🗂️ Other,Autres,Description non disponible,https://apps.apple.com/us/app/stemz-ai-tool-for-musicians/id1596495598,
131,Supertone,🎵 Audio Processing,Timbre Transfer,Description non disponible,https://supertone.ai/,
24,Bronze.ai,🗂️ Other,Autres,Description non disponible,https://bronze.ai,
19,Basic Pitch,🚀 Music Composition,Audio en Texte,Description non disponible,https://basicpitch.spotify.com/,
133,Synplant2,🎵 Audio Processing,Music Production,Description non disponible,https://soniccharge.com/synplant,https://soniccharge.com/download
9,Archives,🎵 Audio Processing,Sound/Sample Search,Description non disponible,https://archives.sonophase.com/,
12,Audionamix,🗂️ Other,Autres,Description non disponible,https://audionamix.com/,
18,Banger: AI Cover Songs & Music,🗂️ Other,Autres,Description non disponible,https://apps.apple.com/us/app/banger-ai-cover-songs-music/id6452017015,
8,Anthemscore,🗂️ Other,Autres,Description non disponible,https://lunaverus.com/,https://lunaverus.com/download
13,AudioSep: Separate Anything You Describe,🗂️ Other,Autres,Description non disponible,https://huggingface.co/spaces/Audio-AGI/AudioSep,
7,AmpliTube,🎵 Audio Processing,Music Production,Description non disponible,https://www.ikmultimedia.com/products/aimachinemodeling/,
14,AudioShake,🗂️ Other,Autres,Description non disponible,https://www.audioshake.ai/,https://indie.audioshake.ai/
3,AIMS API,🎵 Audio Processing,Audio Analysis and Metadata,Description non disponible,https://www.aimsapi.com/,
25,Allfeat (AFT),🌐 Blockchain-Based Platforms,Blockchain pour l'Industrie Musicale,Description non disponible,,
47,ROCKI,🌐 Blockchain-Based Platforms,Streaming Musical avec NFT,Description non disponible,,
48,Royal,🌐 Blockchain-Based Platforms,Investissement Musical via Blockchain,Investissement dans les droits musicaux des artistes via la blockchain.,,
38,MetaBeat,🌐 Blockchain-Based Platforms,Rights Management via Blockchain,Description non disponible,,
34,eMusic,🌐 Blockchain-Based Platforms,Music and Royalty Distribution via Blockchain,Description non disponible,,
26,Audius,🌐 Blockchain-Based Platforms,Decentralized Streaming,Plateforme de streaming décentralisée pour partager et monétiser directement la musique.,,
28,BitSong,🌐 Blockchain-Based Platforms,Streaming Musical avec NFT,Description non disponible,,
45,Pixelinks,🎧 Immersive Experiences,Immersive Music Experiences,Description non disponible,,
130,Suno.ai,🗂️ Other,Autres,Description non disponible,https://discord.gg/suno-ai,
11,Audiocipher,🗂️ Other,Autres,Description non disponible,https://www.audiocipher.com/,
79,Getsound.ai,🚀 Music Composition,Music Composition,Description non disponible,https://www.getsound.ai/,
84,Infinite Album,🚀 Music Composition,Music Composition,Description non disponible,https://www.infinitealbum.io/,
65,Deep Flow,🚀 Music Composition,Génération de Paroles,Description non disponible,https://www.beatopia.com/,
1,AIbstract,🗂️ Other,Autres,Description non disponible,https://aibstract.fr/presentation,
87,KORUS,🗂️ Other,Autres,Description non disponible,https://korus.co/,
63,DAACI,🎵 Audio Processing,Music Production,Description non disponible,https://www.daaci.com/,
